14:36:21.045, LED:[0], Chans:(8, 9, 87, 222, 78, 15)
14:36:21.078, LED:[0], Chans:(8, 9, 87, 222, 78, 16)
14:36:21.112, LED:[0], Chans:(8, 10, 87, 222, 77, 15)
14:36:21.146, LED:[0], Chans:(8, 9, 87, 221, 77, 16)
14:36:21.179, LED:[0], Chans:(8, 9, 87, 221, 78, 15)
14:36:21.213, LED:[0], Chans:(8, 9, 87, 222, 78, 16)
14:36:21.246, LED:[0], Chans:(9, 9, 87, 222, 78, 15)
14:36:21.280, LED:[0], Chans:(8, 9, 87, 222, 78, 18)
14:36:21.313, LED:[0], Chans:(8, 9, 87, 221, 78, 16)
14:36:21.347, LED:[0], Chans:(8, 9, 87, 221, 78, 18)
14:36:21.381, LED:[0], Chans:(8, 9, 87, 220, 78, 18)
14:36:21.414, LED:[0], Chans:(8, 10, 88, 221, 78, 20)
14:36:21.448, LED:[0], Chans:(9, 11, 88, 222, 79, 20)
14:36:21.481, LED:[0], Chans:(8, 9, 88, 221, 78, 21)
14:36:21.516, LED:[0], Chans:(9, 9, 87, 222, 78, 18)
14:36:21.549, LED:[0], Chans:(8, 9, 87, 221, 78, 20)
14:36:21.582, LED:[0], Chans:(8, 9, 87, 221, 78, 20)
14:36:21.616, LED:[0], Chans:(8, 9, 87, 222, 78, 21)
14:36:21.649, LED:[0], Chans:(8, 9, 88, 222, 79, 18)
14:36:21.684, LED:[0], Chans:(8, 10, 89, 223, 79, 22)
14:36:21.717, LED:[0], Chans:(8, 9, 89, 224, 80, 17)
14:36:21.750, LED:[0], Chans:(9, 9, 89, 224, 80, 22)
14:36:21.784, LED:[0], Chans:(9, 9, 89, 223, 79, 23)
14:36:21.817, LED:[0], Chans:(10, 11, 89, 223, 79, 23)
14:36:21.852, LED:[0], Chans:(9, 10, 89, 223, 79, 21)
14:36:21.885, LED:[0], Chans:(8, 9, 89, 223, 79, 21)
14:36:21.918, LED:[0], Chans:(8, 10, 89, 223, 79, 20)
14:36:21.952, LED:[0], Chans:(8, 10, 88, 224, 79, 19)
14:36:21.985, LED:[0], Chans:(9, 9, 88, 223, 79, 21)
14:36:22.020, LED:[0], Chans:(8, 9, 89, 224, 79, 20)
14:36:22.053, LED:[0], Chans:(8, 9, 88, 222, 79, 18)
14:36:22.086, LED:[0], Chans:(8, 10, 88, 222, 79, 21)
14:36:22.120, LED:[0], Chans:(8, 9, 89, 223, 79, 18)
14:36:22.153, LED:[0], Chans:(8, 10, 89, 223, 79, 21)
14:36:22.188, LED:[0], Chans:(8, 9, 89, 224, 79, 20)
14:36:22.221, LED:[0], Chans:(8, 9, 88, 224, 79, 19)
14:36:22.254, LED:[0], Chans:(8, 9, 89, 224, 79, 23)
14:36:22.288, LED:[0], Chans:(8, 9, 88, 224, 79, 22)
14:36:22.321, LED:[0], Chans:(8, 8, 89, 223, 79, 20)
14:36:22.355, LED:[0], Chans:(8, 9, 89, 224, 80, 17)
14:36:22.389, LED:[0], Chans:(8, 9, 89, 225, 79, 18)
14:36:22.423, LED:[0], Chans:(8, 10, 89, 226, 79, 18)
14:36:22.456, LED:[0], Chans:(8, 9, 90, 226, 80, 19)
14:36:22.489, LED:[0], Chans:(8, 9, 89, 226, 81, 19)
14:36:22.523, LED:[0], Chans:(8, 9, 90, 227, 80, 18)
14:36:22.557, LED:[0], Chans:(8, 9, 90, 228, 81, 17)
14:36:22.591, LED:[0], Chans:(8, 9, 90, 227, 81, 16)
14:36:22.624, LED:[0], Chans:(8, 9, 90, 228, 81, 16)
14:36:22.657, LED:[0], Chans:(8, 10, 91, 229, 81, 20)
14:36:22.691, LED:[0], Chans:(8, 9, 90, 228, 81, 16)
14:36:22.725, LED:[0], Chans:(8, 10, 90, 228, 81, 15)
14:36:22.759, LED:[0], Chans:(8, 10, 90, 228, 81, 16)
14:36:22.792, LED:[0], Chans:(8, 9, 90, 227, 80, 15)
14:36:22.825, LED:[0], Chans:(8, 9, 90, 228, 81, 15)
14:36:22.859, LED:[0], Chans:(8, 9, 90, 227, 80, 15)
14:36:22.893, LED:[0], Chans:(8, 9, 90, 228, 80, 16)
14:36:22.927, LED:[0], Chans:(8, 10, 90, 228, 81, 17)
14:36:22.960, LED:[0], Chans:(8, 10, 90, 228, 81, 17)
14:36:22.993, LED:[0], Chans:(8, 9, 90, 229, 81, 15)
14:36:23.027, LED:[0], Chans:(8, 10, 90, 228, 81, 18)
14:36:23.061, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:23.095, LED:[0], Chans:(8, 10, 90, 229, 81, 18)
14:36:23.128, LED:[0], Chans:(8, 9, 91, 229, 81, 17)
14:36:23.161, LED:[0], Chans:(8, 9, 91, 230, 81, 15)
14:36:23.195, LED:[0], Chans:(9, 10, 90, 229, 81, 17)
14:36:23.228, LED:[0], Chans:(8, 10, 91, 228, 81, 17)
14:36:23.263, LED:[0], Chans:(8, 10, 91, 229, 81, 15)
14:36:23.296, LED:[0], Chans:(8, 9, 90, 229, 82, 17)
14:36:23.329, LED:[0], Chans:(9, 10, 91, 230, 81, 16)
14:36:23.363, LED:[0], Chans:(9, 9, 90, 229, 81, 18)
14:36:23.396, LED:[0], Chans:(8, 10, 91, 229, 81, 17)
14:36:23.431, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:23.464, LED:[0], Chans:(8, 9, 90, 228, 81, 16)
14:36:23.498, LED:[0], Chans:(8, 9, 90, 229, 81, 18)
14:36:23.531, LED:[0], Chans:(8, 9, 90, 228, 81, 17)
14:36:23.564, LED:[0], Chans:(9, 9, 91, 229, 81, 18)
14:36:23.599, LED:[0], Chans:(8, 9, 90, 229, 81, 19)
14:36:23.632, LED:[0], Chans:(8, 10, 90, 228, 81, 21)
14:36:23.666, LED:[0], Chans:(8, 10, 91, 229, 82, 17)
14:36:23.699, LED:[0], Chans:(9, 9, 91, 229, 81, 16)
14:36:23.732, LED:[0], Chans:(8, 9, 90, 229, 81, 19)
14:36:23.767, LED:[0], Chans:(8, 10, 90, 228, 81, 21)
14:36:23.800, LED:[0], Chans:(8, 10, 90, 229, 81, 21)
14:36:23.834, LED:[0], Chans:(8, 10, 91, 230, 81, 20)
14:36:23.867, LED:[0], Chans:(8, 9, 90, 230, 81, 16)
14:36:23.900, LED:[0], Chans:(8, 9, 91, 229, 82, 18)
14:36:23.935, LED:[0], Chans:(8, 10, 91, 229, 81, 19)
14:36:23.968, LED:[0], Chans:(8, 10, 91, 229, 81, 21)
14:36:24.002, LED:[0], Chans:(8, 9, 91, 229, 81, 19)
14:36:24.035, LED:[0], Chans:(8, 10, 91, 228, 81, 17)
14:36:24.068, LED:[0], Chans:(8, 9, 91, 229, 81, 18)
14:36:24.103, LED:[0], Chans:(8, 10, 90, 229, 81, 19)
14:36:24.136, LED:[0], Chans:(8, 9, 90, 230, 81, 18)
14:36:24.170, LED:[0], Chans:(8, 10, 90, 229, 82, 22)
14:36:24.203, LED:[0], Chans:(8, 10, 91, 229, 81, 20)
14:36:24.236, LED:[0], Chans:(8, 9, 91, 230, 82, 18)
14:36:24.270, LED:[0], Chans:(8, 10, 93, 230, 81, 18)
14:36:24.304, LED:[0], Chans:(8, 10, 90, 229, 81, 19)
14:36:24.338, LED:[0], Chans:(9, 10, 91, 229, 81, 21)
14:36:24.371, LED:[0], Chans:(8, 9, 91, 230, 81, 19)
14:36:24.404, LED:[0], Chans:(9, 9, 91, 230, 82, 19)
14:36:24.438, LED:[0], Chans:(8, 10, 91, 229, 81, 17)
14:36:24.472, LED:[0], Chans:(8, 10, 91, 229, 81, 17)
14:36:24.506, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:24.539, LED:[0], Chans:(8, 9, 91, 231, 81, 19)
14:36:24.572, LED:[0], Chans:(8, 9, 91, 230, 81, 16)
14:36:24.606, LED:[0], Chans:(8, 9, 91, 229, 81, 17)
14:36:24.640, LED:[0], Chans:(8, 9, 91, 230, 82, 17)
14:36:24.674, LED:[0], Chans:(8, 9, 91, 229, 82, 15)
14:36:24.707, LED:[0], Chans:(8, 9, 90, 229, 81, 17)
14:36:24.741, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:24.774, LED:[0], Chans:(8, 9, 91, 230, 81, 17)
14:36:24.808, LED:[0], Chans:(8, 10, 91, 230, 82, 15)
14:36:24.842, LED:[0], Chans:(8, 9, 91, 230, 81, 15)
14:36:24.875, LED:[0], Chans:(8, 9, 91, 229, 81, 15)
14:36:24.909, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:24.942, LED:[0], Chans:(8, 9, 90, 230, 81, 16)
14:36:24.976, LED:[0], Chans:(8, 10, 91, 230, 81, 15)
14:36:25.010, LED:[0], Chans:(8, 9, 91, 230, 81, 17)
14:36:25.043, LED:[0], Chans:(8, 9, 90, 230, 81, 16)
14:36:25.077, LED:[0], Chans:(8, 9, 91, 229, 81, 15)
14:36:25.110, LED:[0], Chans:(8, 9, 91, 230, 81, 18)
14:36:25.143, LED:[0], Chans:(8, 10, 91, 229, 81, 17)
14:36:25.178, LED:[0], Chans:(8, 9, 90, 228, 81, 16)
14:36:25.211, LED:[0], Chans:(9, 9, 91, 229, 82, 18)
14:36:25.245, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:25.278, LED:[0], Chans:(8, 10, 91, 229, 81, 15)
14:36:25.311, LED:[0], Chans:(8, 9, 91, 230, 81, 16)
14:36:25.346, LED:[0], Chans:(8, 9, 91, 229, 81, 17)
14:36:25.379, LED:[0], Chans:(8, 9, 91, 229, 82, 18)
14:36:25.413, LED:[0], Chans:(8, 10, 91, 229, 81, 18)
14:36:25.446, LED:[0], Chans:(8, 10, 91, 229, 81, 18)
14:36:25.479, LED:[0], Chans:(8, 9, 90, 228, 81, 17)
14:36:25.514, LED:[0], Chans:(8, 9, 90, 228, 81, 17)
14:36:25.547, LED:[0], Chans:(8, 10, 90, 229, 81, 19)
14:36:25.581, LED:[0], Chans:(8, 9, 91, 229, 82, 19)
14:36:25.614, LED:[0], Chans:(8, 9, 90, 229, 81, 16)
14:36:25.647, LED:[0], Chans:(8, 9, 91, 229, 82, 21)
14:36:25.682, LED:[0], Chans:(8, 9, 91, 229, 81, 18)
14:36:25.715, LED:[0], Chans:(8, 9, 90, 229, 81, 16)
14:36:25.749, LED:[0], Chans:(8, 9, 90, 230, 81, 18)
14:36:25.782, LED:[0], Chans:(8, 9, 90, 230, 81, 15)
14:36:25.815, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:25.850, LED:[0], Chans:(8, 9, 91, 229, 81, 16)
14:36:25.883, LED:[0], Chans:(8, 10, 91, 229, 81, 21)
14:36:25.917, LED:[0], Chans:(8, 9, 90, 229, 81, 16)
14:36:25.950, LED:[0], Chans:(8, 10, 90, 230, 81, 19)
14:36:25.984, LED:[0], Chans:(9, 9, 91, 229, 81, 19)
14:36:26.017, LED:[0], Chans:(8, 10, 91, 229, 81, 19)
14:36:26.051, LED:[0], Chans:(8, 9, 91, 230, 81, 16)
14:36:26.085, LED:[0], Chans:(8, 9, 91, 229, 81, 18)
14:36:26.118, LED:[0], Chans:(8, 9, 91, 230, 81, 16)
14:36:26.152, LED:[0], Chans:(8, 9, 90, 230, 82, 19)
14:36:26.185, LED:[0], Chans:(8, 9, 91, 230, 81, 17)
14:36:26.219, LED:[0], Chans:(8, 10, 91, 229, 81, 22)
14:36:26.253, LED:[0], Chans:(8, 9, 91, 229, 81, 21)
14:36:26.286, LED:[0], Chans:(9, 9, 90, 229, 81, 19)
