13:49:18.018, LED:[0], Chans:(11, 12, 96, 220, 88, 54)
13:49:18.051, LED:[0], Chans:(11, 12, 96, 221, 88, 52)
13:49:18.085, LED:[0], Chans:(11, 12, 95, 219, 88, 51)
13:49:18.119, LED:[0], Chans:(11, 12, 96, 220, 88, 50)
13:49:18.152, LED:[0], Chans:(11, 12, 95, 219, 88, 51)
13:49:18.186, LED:[0], Chans:(11, 12, 95, 220, 88, 50)
13:49:18.219, LED:[0], Chans:(11, 11, 96, 219, 88, 50)
13:49:18.253, LED:[0], Chans:(10, 11, 95, 219, 88, 51)
13:49:18.286, LED:[0], Chans:(11, 12, 96, 219, 88, 51)
13:49:18.320, LED:[0], Chans:(11, 12, 96, 219, 88, 50)
13:49:18.354, LED:[0], Chans:(11, 12, 96, 220, 88, 52)
13:49:18.387, LED:[0], Chans:(11, 12, 95, 219, 88, 50)
13:49:18.421, LED:[0], Chans:(11, 12, 95, 219, 88, 49)
13:49:18.454, LED:[0], Chans:(11, 11, 95, 219, 87, 48)
13:49:18.489, LED:[0], Chans:(10, 11, 95, 219, 87, 49)
13:49:18.522, LED:[0], Chans:(10, 11, 94, 219, 86, 46)
13:49:18.555, LED:[0], Chans:(10, 11, 93, 219, 86, 45)
13:49:18.589, LED:[0], Chans:(10, 11, 93, 220, 86, 44)
13:49:18.622, LED:[0], Chans:(10, 11, 93, 220, 86, 40)
13:49:18.657, LED:[0], Chans:(10, 11, 93, 220, 86, 42)
13:49:18.690, LED:[0], Chans:(10, 12, 93, 221, 85, 44)
13:49:18.724, LED:[0], Chans:(10, 10, 93, 221, 85, 40)
13:49:18.757, LED:[0], Chans:(10, 10, 93, 221, 85, 39)
13:49:18.790, LED:[0], Chans:(10, 11, 93, 222, 85, 38)
13:49:18.825, LED:[0], Chans:(10, 10, 93, 222, 86, 39)
13:49:18.858, LED:[0], Chans:(10, 11, 93, 222, 86, 41)
13:49:18.892, LED:[0], Chans:(10, 11, 93, 222, 86, 40)
13:49:18.925, LED:[0], Chans:(10, 11, 93, 222, 86, 39)
13:49:18.958, LED:[0], Chans:(10, 11, 94, 222, 86, 41)
